hora,metaf,aero,hora_dt
1654110000000,"METAF SBGR 011900Z  22003KT CAVOK 24/16 Q1013=
",SBGR,2022-06-01 19:00:00
1654113600000,"METAF SBGR 012000Z  19005KT 9999    RA  FEW028   22/17 Q1014=
",SBGR,2022-06-01 20:00:00
1654117200000,"METAF SBGR 012100Z  15006KT 3000    RABR BKN013   19/17 Q1014=
",SBGR,2022-06-01 21:00:00
1654120800000,"METAF SBGR 012200Z  15006KT 2000     BR OVC013   18/17 Q1015=
",SBGR,2022-06-01 22:00:00
1654124400000,"METAF SBGR 012300Z  13004KT 1000     BR OVC027   18/17 Q1016=
",SBGR,2022-06-01 23:00:00
1654041600000,"METAF SBKP 010000Z  12013KT 5000     BR BKN033   17/14 Q1015=
",SBKP,2022-06-01 00:00:00
1654045200000,"METAF SBKP 010100Z  11014KT 6000       BKN033   17/14 Q1017=
",SBKP,2022-06-01 01:00:00
1654048800000,"METAF SBKP 010200Z  11014KT 5000     BR BKN033   17/14 Q1016=
",SBKP,2022-06-01 02:00:00
1654052400000,"METAF SBKP 010300Z  11014KT 4000     BR BKN033   17/14 Q1015=
",SBKP,2022-06-01 03:00:00
1654056000000,"METAF SBKP 010400Z  11014KT 4000     BR BKN033   17/14 Q1015=
",SBKP,2022-06-01 04:00:00
1654059600000,"METAF SBKP 010500Z  11012KT 4000     BR BKN033   17/15 Q1015=
",SBKP,2022-06-01 05:00:00
1654063200000,"METAF SBKP 010600Z  11008KT 2000     BR BKN033   16/15 Q1014=
",SBKP,2022-06-01 06:00:00
1654066800000,"METAF SBKP 010700Z  11008KT 2000     BR BKN033   16/15 Q1015=
",SBKP,2022-06-01 07:00:00
1654070400000,"METAF SBKP 010800Z  11008KT 2000     BR BKN033   17/15 Q1015=
",SBKP,2022-06-01 08:00:00
1654074000000,"METAF SBKP 010900Z  10008KT 2000     BR BKN033   17/15 Q1014=
",SBKP,2022-06-01 09:00:00
1654077600000,"METAF SBKP 011000Z  10008KT 2000     BR BKN033   17/15 Q1015=
",SBKP,2022-06-01 10:00:00
1654081200000,"METAF SBKP 011100Z  11008KT 3000     BR BKN033   17/15 Q1016=
",SBKP,2022-06-01 11:00:00
1654084800000,"METAF SBKP 011200Z 08005KT 9000       SCT033   20/15 Q1015=
",SBKP,2022-06-01 12:00:00
1654088400000,"METAF SBKP 011300Z 02004KT 9999       FEW033   22/15 Q1017=
",SBKP,2022-06-01 13:00:00
1654092000000,"METAF SBKP 011400Z  34005KT CAVOK 24/15 Q1017=
",SBKP,2022-06-01 14:00:00
1654095600000,"METAF SBKP 011500Z  33006KT CAVOK 25/15 Q1014=
",SBKP,2022-06-01 15:00:00
1654099200000,"METAF SBKP 011600Z  32006KT CAVOK 26/15 Q1014=
",SBKP,2022-06-01 16:00:00
1654102800000,"METAF SBKP 011700Z  29006KT CAVOK 27/15 Q1014=
",SBKP,2022-06-01 17:00:00
1654106400000,"METAF SBKP 011800Z  28005KT CAVOK 28/14 Q1012=
",SBKP,2022-06-01 18:00:00
1654110000000,"METAF SBKP 011900Z  25004KT CAVOK 28/15 Q1012=
",SBKP,2022-06-01 19:00:00
1654113600000,"METAF SBKP 012000Z  20006KT CAVOK 26/16 Q1013=
",SBKP,2022-06-01 20:00:00
1654117200000,"METAF SBKP 012100Z  19005KT CAVOK 25/16 Q1013=
",SBKP,2022-06-01 21:00:00
1654120800000,"METAF SBKP 012200Z  15003KT CAVOK 24/16 Q1014=
",SBKP,2022-06-01 22:00:00
1654124400000,"METAF SBKP 012300Z  14009KT CAVOK 23/16 Q1014=
",SBKP,2022-06-01 23:00:00
1654041600000,"METAF SBSP 010000Z  13008KT 1000     BR OVC033   15/14 Q1018=
",SBSP,2022-06-01 00:00:00
1654045200000,"METAF SBSP 010100Z  12007KT 1000     BR OVC033   15/14 Q1019=
",SBSP,2022-06-01 01:00:00
1654048800000,"METAF SBSP 010200Z  13007KT 1000     BR OVC033   15/14 Q1018=
",SBSP,2022-06-01 02:00:00
1654052400000,"METAF SBSP 010300Z  12007KT 1000     BR OVC033   15/14 Q1017=
",SBSP,2022-06-01 03:00:00
1654056000000,"METAF SBSP 010400Z  12007KT 1000     BR OVC033   15/15 Q1017=
",SBSP,2022-06-01 04:00:00
1654059600000,"METAF SBSP 010500Z  11006KT 1000     BR OVC033   16/15 Q1017=
",SBSP,2022-06-01 05:00:00
1654063200000,"METAF SBSP 010600Z  13004KT 0700 FG     OVC033   16/15 Q1015=
",SBSP,2022-06-01 06:00:00
1654066800000,"METAF SBSP 010700Z  14004KT 0700 FG     OVC033   16/15 Q1016=
",SBSP,2022-06-01 07:00:00
1654070400000,"METAF SBSP 010800Z  13005KT 0650 FG     OVC033   16/16 Q1016=
",SBSP,2022-06-01 08:00:00
1654074000000,"METAF SBSP 010900Z  14004KT 0600 FG     OVC033   16/16 Q1015=
",SBSP,2022-06-01 09:00:00
1654077600000,"METAF SBSP 011000Z  12004KT 0700 FG     OVC033   16/16 Q1016=
",SBSP,2022-06-01 10:00:00
1654081200000,"METAF SBSP 011100Z  13003KT 1000     BR OVC033   16/16 Q1017=
",SBSP,2022-06-01 11:00:00
1654084800000,"METAF SBSP 011200Z  12002KT 2000     BR OVC033   17/16 Q1017=
",SBSP,2022-06-01 12:00:00
1654088400000,"METAF SBSP 011300Z 07004KT 4000     BR OVC033   18/16 Q1018=
",SBSP,2022-06-01 13:00:00
1654092000000,"METAF SBSP 011400Z 08003KT 7000       OVC033   19/16 Q1018=
",SBSP,2022-06-01 14:00:00
1654095600000,"METAF SBSP 011500Z 08003KT 9999       OVC033   21/16 Q1015=
",SBSP,2022-06-01 15:00:00
1654099200000,"METAF SBSP 011600Z  11002KT 9999       BKN033   22/16 Q1014=
",SBSP,2022-06-01 16:00:00
1654102800000,"METAF SBSP 011700Z  14001KT 9999       OVC026   23/16 Q1015=
",SBSP,2022-06-01 17:00:00
1654106400000,"METAF SBSP 011800Z  16004KT 9999  - RA  OVC020   22/17 Q1013=
",SBSP,2022-06-01 18:00:00
1654110000000,"METAF SBSP 011900Z  17008KT 5000  - RABR OVC010   21/18 Q1014=
",SBSP,2022-06-01 19:00:00
1654113600000,"METAF SBSP 012000Z  17007KT 4000     BR OVC033   20/18 Q1014=
",SBSP,2022-06-01 20:00:00
1654117200000,"METAF SBSP 012100Z  17006KT 3000     BR OVC033   19/17 Q1014=
",SBSP,2022-06-01 21:00:00
1654120800000,"METAF SBSP 012200Z  15004KT 3000     BR OVC033   19/17 Q1015=
",SBSP,2022-06-01 22:00:00
1654124400000,"METAF SBSP 012300Z  14004KT 2000     BR OVC033   19/17 Q1016=
",SBSP,2022-06-01 23:00:00
1654128000000,"METAF SBGL 020000Z  10005KT CAVOK 24/21 Q1014=
",SBGL,2022-06-02 00:00:00
1654131600000,"METAF SBGL 020100Z  20003KT CAVOK 24/21 Q1014=
",SBGL,2022-06-02 01:00:00
1654192800000,"METAF SBGL 021800Z  20012KT 7000       OVC019   25/21 Q1014=
",SBGL,2022-06-02 18:00:00
1654196400000,"METAF SBGL 021900Z  20012KT 7000       OVC033   24/21 Q1014=
",SBGL,2022-06-02 19:00:00
1654200000000,"METAF SBGL 022000Z  20011KT 6000       OVC015   24/21 Q1015=
",SBGL,2022-06-02 20:00:00
1654203600000,"METAF SBGL 022100Z  21008KT 5000     BR OVC014   23/20 Q1016=
",SBGL,2022-06-02 21:00:00
1654207200000,"METAF SBGL 022200Z  22007KT 5000     BR OVC013   23/20 Q1016=
",SBGL,2022-06-02 22:00:00
1654210800000,"METAF SBGL 022300Z  23006KT 5000     BR OVC012   23/20 Q1017=
",SBGL,2022-06-02 23:00:00
1654128000000,"METAF SBGR 020000Z  12005KT 1000     BR OVC027   17/16 Q1016=
",SBGR,2022-06-02 00:00:00
1654131600000,"METAF SBGR 020100Z  12004KT 1000     BR OVC022   17/16 Q1016=
",SBGR,2022-06-02 01:00:00
1654192800000,"METAF SBGR 021800Z  16008KT 4000     BR OVC033   18/16 Q1015=
",SBGR,2022-06-02 18:00:00
1654196400000,"METAF SBGR 021900Z  15006KT 3000     BR OVC027   18/16 Q1015=
",SBGR,2022-06-02 19:00:00
1654200000000,"METAF SBGR 022000Z  14007KT 3000     BR OVC033   17/15 Q1015=
",SBGR,2022-06-02 20:00:00
1654203600000,"METAF SBGR 022100Z  14007KT 2000     BR OVC033   16/14 Q1016=
",SBGR,2022-06-02 21:00:00
1654207200000,"METAF SBGR 022200Z  14005KT 3000     BR OVC029   15/13 Q1016=
",SBGR,2022-06-02 22:00:00
1654210800000,"METAF SBGR 022300Z  13005KT 3000     BR OVC031   14/12 Q1016=
",SBGR,2022-06-02 23:00:00
1654128000000,"METAF SBKP 020000Z  12009KT 8000       FEW024   22/17 Q1014=
",SBKP,2022-06-02 00:00:00
1654131600000,"METAF SBKP 020100Z  11008KT 5000     BR BKN023   21/18 Q1015=
",SBKP,2022-06-02 01:00:00
1654192800000,"METAF SBKP 021800Z  24006KT CAVOK 25/16 Q1014=
",SBKP,2022-06-02 18:00:00
1654196400000,"METAF SBKP 021900Z  23005KT CAVOK 24/16 Q1013=
",SBKP,2022-06-02 19:00:00
1654200000000,"METAF SBKP 022000Z  17005KT CAVOK 23/17 Q1014=
",SBKP,2022-06-02 20:00:00
1654203600000,"METAF SBKP 022100Z  12007KT 9999       FEW031   21/16 Q1014=
",SBKP,2022-06-02 21:00:00
1654207200000,"METAF SBKP 022200Z  12010KT 8000       SCT031   20/16 Q1015=
",SBKP,2022-06-02 22:00:00
1654210800000,"METAF SBKP 022300Z  11010KT 7000       SCT033   19/15 Q1015=
",SBKP,2022-06-02 23:00:00
1654128000000,"METAF SBSP 020000Z  12003KT 2000     BR OVC033   19/17 Q1016=
",SBSP,2022-06-02 00:00:00
1654131600000,"METAF SBSP 020100Z  13003KT 2000     BR OVC033   19/17 Q1016=
",SBSP,2022-06-02 01:00:00
1654192800000,"METAF SBSP 021800Z  17008KT 3000     BR OVC031   17/15 Q1016=
",SBSP,2022-06-02 18:00:00
1654196400000,"METAF SBSP 021900Z  17007KT 2000     BR OVC032   16/14 Q1015=
",SBSP,2022-06-02 19:00:00
1654200000000,"METAF SBSP 022000Z  16007KT 3000     BR OVC033   16/14 Q1016=
",SBSP,2022-06-02 20:00:00
1654203600000,"METAF SBSP 022100Z  15008KT 3000     BR OVC033   15/13 Q1016=
",SBSP,2022-06-02 21:00:00
1654207200000,"METAF SBSP 022200Z  15005KT 3000     BR OVC033   15/13 Q1016=
",SBSP,2022-06-02 22:00:00
1654210800000,"METAF SBSP 022300Z  14005KT 2000     BR OVC033   15/13 Q1017=
",SBSP,2022-06-02 23:00:00
1654214400000,"METAF SBGL 030000Z  26006KT 7000       OVC033   22/19 Q1018=
",SBGL,2022-06-03 00:00:00
1654218000000,"METAF SBGL 030100Z  26005KT 7000       OVC033   22/19 Q1018=
",SBGL,2022-06-03 01:00:00
1654221600000,"METAF SBGL 030200Z  29005KT 6000       BKN033   22/18 Q1017=
",SBGL,2022-06-03 02:00:00
1654225200000,"METAF SBGL 030300Z  28006KT 6000       BKN033   22/18 Q1017=
",SBGL,2022-06-03 03:00:00
1654228800000,"METAF SBGL 030400Z  28007KT 6000       BKN033   21/18 Q1017=
",SBGL,2022-06-03 04:00:00
1654232400000,"METAF SBGL 030500Z  29006KT 5000     BR BKN033   21/18 Q1016=
",SBGL,2022-06-03 05:00:00
1654236000000,"METAF SBGL 030600Z  28005KT 4000     BR BKN033   21/18 Q1016=
",SBGL,2022-06-03 06:00:00
1654239600000,"METAF SBGL 030700Z  26006KT 4000     BR OVC033   21/18 Q1016=
",SBGL,2022-06-03 07:00:00
1654243200000,"METAF SBGL 030800Z  28006KT 3000     BR OVC033   20/18 Q1017=
",SBGL,2022-06-03 08:00:00
1654246800000,"METAF SBGL 030900Z  28005KT 3000     BR OVC033   20/18 Q1017=
",SBGL,2022-06-03 09:00:00
1654250400000,"METAF SBGL 031000Z  30006KT 3000     BR OVC033   20/18 Q1018=
",SBGL,2022-06-03 10:00:00
1654254000000,"METAF SBGL 031100Z  30006KT 5000     BR OVC033   21/18 Q1019=
",SBGL,2022-06-03 11:00:00
1654257600000,"METAF SBGL 031200Z  27004KT 6000       OVC033   21/18 Q1019=
",SBGL,2022-06-03 12:00:00
1654261200000,"METAF SBGL 031300Z  27004KT 7000       OVC033   22/18 Q1019=
",SBGL,2022-06-03 13:00:00
1654264800000,"METAF SBGL 031400Z  25004KT 8000       OVC033   22/19 Q1019=
",SBGL,2022-06-03 14:00:00
1654268400000,"METAF SBGL 031500Z  22005KT 7000       OVC033   23/19 Q1019=
",SBGL,2022-06-03 15:00:00
1654272000000,"METAF SBGL 031600Z  22004KT 7000       OVC033   23/19 Q1018=
",SBGL,2022-06-03 16:00:00
1654275600000,"METAF SBGL 031700Z  22005KT 8000       OVC033   23/19 Q1018=
",SBGL,2022-06-03 17:00:00
1654279200000,"METAF SBGL 031800Z  23004KT 8000       OVC025   23/19 Q1017=
",SBGL,2022-06-03 18:00:00
1654282800000,"METAF SBGL 031900Z  23005KT 9999       OVC027   23/19 Q1017=
",SBGL,2022-06-03 19:00:00
1654286400000,"METAF SBGL 032000Z  24006KT 9999       BKN027   23/18 Q1018=
",SBGL,2022-06-03 20:00:00
1654290000000,"METAF SBGL 032100Z  25006KT 9999       BKN023   23/18 Q1018=
",SBGL,2022-06-03 21:00:00
1654293600000,"METAF SBGL 032200Z  27004KT 9000       OVC020   22/18 Q1019=
",SBGL,2022-06-03 22:00:00
1654297200000,"METAF SBGL 032300Z  25002KT 6000       OVC019   21/18 Q1020=
",SBGL,2022-06-03 23:00:00
1654214400000,"METAF SBGR 030000Z  11005KT 1000     BR OVC033   16/15 Q1017=
",SBGR,2022-06-03 00:00:00
1654218000000,"METAF SBGR 030100Z  11006KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-03 01:00:00
1654221600000,"METAF SBGR 030200Z  11005KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-03 02:00:00
1654225200000,"METAF SBGR 030300Z  11004KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-03 03:00:00
1654228800000,"METAF SBGR 030400Z  13005KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-03 04:00:00
1654232400000,"METAF SBGR 030500Z  14004KT 1000     BR OVC031   15/14 Q1017=
",SBGR,2022-06-03 05:00:00
1654236000000,"METAF SBGR 030600Z  14003KT 1000     BR OVC028   15/14 Q1017=
",SBGR,2022-06-03 06:00:00
1654239600000,"METAF SBGR 030700Z  15004KT 1000     BR OVC025   15/14 Q1017=
",SBGR,2022-06-03 07:00:00
1654243200000,"METAF SBGR 030800Z  15004KT 1000     BR OVC030   15/14 Q1017=
",SBGR,2022-06-03 08:00:00
1654246800000,"METAF SBGR 030900Z  13003KT 1000     BR OVC033   15/14 Q1017=
",SBGR,2022-06-03 09:00:00
1654250400000,"METAF SBGR 031000Z  14004KT 1000     BR OVC033   15/14 Q1019=
",SBGR,2022-06-03 10:00:00
1654254000000,"METAF SBGR 031100Z  16004KT 1000     BR OVC033   15/14 Q1020=
",SBGR,2022-06-03 11:00:00
1654257600000,"METAF SBGR 031200Z  17005KT 3000     BR OVC033   16/15 Q1020=
",SBGR,2022-06-03 12:00:00
1654261200000,"METAF SBGR 031300Z  18006KT 4000     BR OVC033   16/14 Q1021=
",SBGR,2022-06-03 13:00:00
1654264800000,"METAF SBGR 031400Z  19006KT 7000       OVC033   18/14 Q1021=
",SBGR,2022-06-03 14:00:00
1654268400000,"METAF SBGR 031500Z  19005KT 9999       OVC033   18/14 Q1020=
",SBGR,2022-06-03 15:00:00
1654272000000,"METAF SBGR 031600Z  19006KT 9999       OVC033   19/13 Q1019=
",SBGR,2022-06-03 16:00:00
1654275600000,"METAF SBGR 031700Z  18007KT 9999       OVC022   19/14 Q1019=
",SBGR,2022-06-03 17:00:00
1654279200000,"METAF SBGR 031800Z  17008KT 9999       OVC021   19/14 Q1019=
",SBGR,2022-06-03 18:00:00
1654282800000,"METAF SBGR 031900Z  17009KT 9999       OVC033   18/13 Q1019=
",SBGR,2022-06-03 19:00:00
1654286400000,"METAF SBGR 032000Z  16007KT 8000       OVC016   17/13 Q1020=
",SBGR,2022-06-03 20:00:00
1654290000000,"METAF SBGR 032100Z  16007KT 4000     BR OVC012   16/13 Q1020=
",SBGR,2022-06-03 21:00:00
1654293600000,"METAF SBGR 032200Z  16007KT 3000     BR OVC033   15/13 Q1021=
",SBGR,2022-06-03 22:00:00
1654297200000,"METAF SBGR 032300Z  16005KT 2000     BR OVC033   14/13 Q1021=
",SBGR,2022-06-03 23:00:00
1654214400000,"METAF SBKP 030000Z  11008KT 4000     BR BKN033   18/15 Q1016=
",SBKP,2022-06-03 00:00:00
1654218000000,"METAF SBKP 030100Z  11008KT 4000     BR BKN033   18/15 Q1016=
",SBKP,2022-06-03 01:00:00
1654221600000,"METAF SBKP 030200Z  12008KT 4000     BR BKN033   17/15 Q1016=
",SBKP,2022-06-03 02:00:00
1654225200000,"METAF SBKP 030300Z  11007KT 4000     BR BKN033   17/15 Q1016=
",SBKP,2022-06-03 03:00:00
1654228800000,"METAF SBKP 030400Z  12006KT 3000     BR BKN033   17/15 Q1016=
",SBKP,2022-06-03 04:00:00
1654232400000,"METAF SBKP 030500Z  12007KT 4000     BR BKN033   17/15 Q1016=
",SBKP,2022-06-03 05:00:00
1654236000000,"METAF SBKP 030600Z  11005KT 3000     BR BKN033   17/15 Q1016=
",SBKP,2022-06-03 06:00:00
1654239600000,"METAF SBKP 030700Z  12005KT 3000     BR BKN032   17/15 Q1016=
",SBKP,2022-06-03 07:00:00
1654243200000,"METAF SBKP 030800Z  13006KT 2000     BR OVC029   16/15 Q1017=
",SBKP,2022-06-03 08:00:00
1654246800000,"METAF SBKP 030900Z  12006KT 2000     BR OVC029   16/15 Q1017=
",SBKP,2022-06-03 09:00:00
1654250400000,"METAF SBKP 031000Z  12006KT 3000     BR OVC033   16/15 Q1018=
",SBKP,2022-06-03 10:00:00
1654254000000,"METAF SBKP 031100Z  13007KT 4000     BR OVC033   17/15 Q1019=
",SBKP,2022-06-03 11:00:00
1654257600000,"METAF SBKP 031200Z  16005KT 4000     BR OVC033   18/15 Q1020=
",SBKP,2022-06-03 12:00:00
1654261200000,"METAF SBKP 031300Z  17006KT 9999       OVC033   20/15 Q1020=
",SBKP,2022-06-03 13:00:00
1654264800000,"METAF SBKP 031400Z  16008KT 9999       OVC033   19/14 Q1020=
",SBKP,2022-06-03 14:00:00
1654268400000,"METAF SBKP 031500Z  15006KT 9999       OVC033   21/14 Q1020=
",SBKP,2022-06-03 15:00:00
1654272000000,"METAF SBKP 031600Z  16005KT 9999       OVC033   22/14 Q1019=
",SBKP,2022-06-03 16:00:00
1654275600000,"METAF SBKP 031700Z  16006KT 9999       OVC033   22/14 Q1018=
",SBKP,2022-06-03 17:00:00
1654279200000,"METAF SBKP 031800Z  16007KT 9999       OVC033   22/14 Q1018=
",SBKP,2022-06-03 18:00:00
1654282800000,"METAF SBKP 031900Z  16009KT 9999       OVC031   22/14 Q1018=
",SBKP,2022-06-03 19:00:00
1654286400000,"METAF SBKP 032000Z  16010KT 9999       BKN033   21/13 Q1018=
",SBKP,2022-06-03 20:00:00
1654290000000,"METAF SBKP 032100Z  16010KT 9999       BKN033   20/13 Q1019=
",SBKP,2022-06-03 21:00:00
1654293600000,"METAF SBKP 032200Z  15010KT 9999       SCT033   19/13 Q1019=
",SBKP,2022-06-03 22:00:00
1654297200000,"METAF SBKP 032300Z  14009KT 9999       SCT033   18/13 Q1020=
",SBKP,2022-06-03 23:00:00
1654214400000,"METAF SBSP 030000Z  14005KT 1000     BR OVC033   15/14 Q1017=
",SBSP,2022-06-03 00:00:00
1654218000000,"METAF SBSP 030100Z  11004KT 1000     BR OVC033   15/14 Q1017=
",SBSP,2022-06-03 01:00:00
1654221600000,"METAF SBSP 030200Z  14004KT 1000     BR OVC033   15/14 Q1018=
",SBSP,2022-06-03 02:00:00
1654225200000,"METAF SBSP 030300Z  14004KT 1000     BR OVC033   15/14 Q1018=
",SBSP,2022-06-03 03:00:00
1654228800000,"METAF SBSP 030400Z  15004KT 1000     BR OVC029   15/14 Q1018=
",SBSP,2022-06-03 04:00:00
1654232400000,"METAF SBSP 030500Z  16004KT 1000     BR OVC029   15/14 Q1018=
",SBSP,2022-06-03 05:00:00
1654236000000,"METAF SBSP 030600Z  16003KT 1000     BR OVC023   15/14 Q1017=
",SBSP,2022-06-03 06:00:00
1654239600000,"METAF SBSP 030700Z  17004KT 1000     BR OVC033   15/14 Q1018=
",SBSP,2022-06-03 07:00:00
1654243200000,"METAF SBSP 030800Z  16003KT 1000     BR OVC033   15/14 Q1018=
",SBSP,2022-06-03 08:00:00
1654246800000,"METAF SBSP 030900Z  17004KT 1000     BR OVC033   15/14 Q1018=
",SBSP,2022-06-03 09:00:00
1654250400000,"METAF SBSP 031000Z  18005KT 1000     BR OVC033   15/14 Q1019=
",SBSP,2022-06-03 10:00:00
1654254000000,"METAF SBSP 031100Z  19004KT 1000     BR OVC033   15/14 Q1020=
",SBSP,2022-06-03 11:00:00
1654257600000,"METAF SBSP 031200Z  19005KT 2000     BR OVC033   16/14 Q1021=
",SBSP,2022-06-03 12:00:00
1654261200000,"METAF SBSP 031300Z  21005KT 6000       OVC033   17/14 Q1022=
",SBSP,2022-06-03 13:00:00
1654264800000,"METAF SBSP 031400Z  21006KT 9999       OVC016   18/14 Q1021=
",SBSP,2022-06-03 14:00:00
1654268400000,"METAF SBSP 031500Z  20006KT 9999       OVC019   19/14 Q1021=
",SBSP,2022-06-03 15:00:00
1654272000000,"METAF SBSP 031600Z  19009KT 9999       OVC017   19/14 Q1020=
",SBSP,2022-06-03 16:00:00
1654275600000,"METAF SBSP 031700Z  19009KT 9999       OVC033   18/13 Q1020=
",SBSP,2022-06-03 17:00:00
1654279200000,"METAF SBSP 031800Z  18009KT 9999       OVC016   18/13 Q1020=
",SBSP,2022-06-03 18:00:00
1654282800000,"METAF SBSP 031900Z  18009KT 8000       OVC014   18/14 Q1020=
",SBSP,2022-06-03 19:00:00
1654286400000,"METAF SBSP 032000Z  18008KT 5000     BR OVC033   17/14 Q1020=
",SBSP,2022-06-03 20:00:00
