hora,metar,aero,hora_dt
1654045200000,METAR SBCF 010100Z 10005KT CAVOK 21/14 Q1018=,SBCF,2022-06-01 01:00:00
1654048800000,METAR SBCF 010200Z 14003KT CAVOK 19/14 Q1018=,SBCF,2022-06-01 02:00:00
1654052400000,METAR SBCF 010300Z 12002KT CAVOK 19/14 Q1018=,SBCF,2022-06-01 03:00:00
1654056000000,METAR SBCF 010400Z 00000KT CAVOK 18/14 Q1018=,SBCF,2022-06-01 04:00:00
1654059600000,METAR SBCF 010500Z 11002KT CAVOK 19/14 Q1018=,SBCF,2022-06-01 05:00:00
1654063200000,METAR SBCF 010600Z 14005KT CAVOK 17/14 Q1018=,SBCF,2022-06-01 06:00:00
1654066800000,METAR SBCF 010700Z 12002KT CAVOK 17/14 Q1018=,SBCF,2022-06-01 07:00:00
1654070400000,METAR SBCF 010800Z 13003KT CAVOK 17/14 Q1018=,SBCF,2022-06-01 08:00:00
1654074000000,METAR SBCF 010900Z 15002KT CAVOK 17/14 Q1019=,SBCF,2022-06-01 09:00:00
1654077600000,METAR SBCF 011000Z 13003KT CAVOK 17/14 Q1019=,SBCF,2022-06-01 10:00:00
1654081200000,METAR SBCF 011100Z 14003KT 110V180 CAVOK 17/14 Q1020=,SBCF,2022-06-01 11:00:00
1654084800000,METAR SBCF 011200Z VRB02KT CAVOK 20/15 Q1021=,SBCF,2022-06-01 12:00:00
1654088400000,METAR SBCF 011300Z 06006KT 020V100 CAVOK 23/15 Q1021=,SBCF,2022-06-01 13:00:00
1654092000000,METAR SBCF 011400Z 15005KT 130V190 9999 FEW025 24/16 Q1020=,SBCF,2022-06-01 14:00:00
1654095600000,METAR SBCF 011500Z 12007KT 060V210 9999 FEW030 25/16 Q1019=,SBCF,2022-06-01 15:00:00
1654099200000,METAR SBCF 011600Z 09005KT 030V170 9999 FEW035 26/16 Q1018=,SBCF,2022-06-01 16:00:00
1654102800000,METAR SBCF 011700Z 06006KT 9999 FEW035 27/15 Q1017=,SBCF,2022-06-01 17:00:00
1654106400000,METAR SBCF 011800Z 14007KT 9999 FEW040 26/16 Q1016=,SBCF,2022-06-01 18:00:00
1654110000000,METAR SBCF 011900Z 12007KT 9999 FEW040 25/16 Q1016=,SBCF,2022-06-01 19:00:00
1654113600000,METAR SBCF 012000Z 09009KT CAVOK 25/16 Q1017=,SBCF,2022-06-01 20:00:00
1654117200000,METAR SBCF 012100Z 09009KT CAVOK 24/15 Q1017=,SBCF,2022-06-01 21:00:00
1654120800000,METAR SBCF 012200Z 11007KT CAVOK 22/15 Q1018=,SBCF,2022-06-01 22:00:00
1654124400000,METAR SBCF 012300Z 09011KT CAVOK 22/16 Q1018=,SBCF,2022-06-01 23:00:00
1654041600000,METAR SBCT 010000Z 10006KT 7000 -RA BKN004 OVC012 10/10 Q1019=,SBCT,2022-06-01 00:00:00
1654045200000,METAR SBCT 010100Z 10005KT 9000 -RADZ BKN006 10/10 Q1019=,SBCT,2022-06-01 01:00:00
1654048800000,METAR SBCT 010200Z 11004KT 080V140 5000 -RADZ OVC004 10/10 Q1020=,SBCT,2022-06-01 02:00:00
1654052400000,METAR SBCT 010300Z 11005KT 5000 -RADZ OVC004 10/10 Q1020=,SBCT,2022-06-01 03:00:00
1654056000000,METAR SBCT 010400Z 10004KT 4000 -RADZ OVC005 10/10 Q1020=,SBCT,2022-06-01 04:00:00
1654059600000,METAR SBCT 010500Z 12003KT 5000 -RADZ OVC005 10/10 Q1019=,SBCT,2022-06-01 05:00:00
1654063200000,METAR SBCT 010600Z 11004KT 6000 -RADZ OVC005 10/10 Q1019=,SBCT,2022-06-01 06:00:00
1654066800000,METAR SBCT 010700Z 10004KT 7000 -RADZ OVC005 11/11 Q1018=,SBCT,2022-06-01 07:00:00
1654070400000,METAR SBCT 010800Z 10005KT 080V140 7000 BKN005 11/11 Q1018=,SBCT,2022-06-01 08:00:00
1654074000000,METAR SBCT 010900Z 11003KT 080V140 7000 BKN005 11/11 Q1019=,SBCT,2022-06-01 09:00:00
1654077600000,METAR SBCT 011000Z 09005KT 6000 -RA BKN005 OVC014 11/11 Q1019=,SBCT,2022-06-01 10:00:00
1654081200000,METAR SBCT 011100Z 10004KT 060V120 5000 -RA BKN005 OVC020 11/11 Q1019=,SBCT,2022-06-01 11:00:00
1654084800000,METAR SBCT 011200Z 09004KT 060V130 4000 -RA BR BKN006 OVC020 11/11 Q1020=,SBCT,2022-06-01 12:00:00
1654088400000,METAR SBCT 011300Z 11004KT 5000 -DZ BKN006 OVC020 12/12 Q1019=,SBCT,2022-06-01 13:00:00
1654092000000,METAR SBCT 011400Z 08007KT 6000 -DZ BKN006 OVC025 13/13 Q1019=,SBCT,2022-06-01 14:00:00
1654094700000,SPECI SBCT 011445Z 03004KT 360V080 3000 -RA BKN006 OVC025 13/13 Q1019=,SBCT,2022-06-01 14:45:00
1654095600000,METAR SBCT 011500Z 06005KT 360V100 3000 -TSRA BKN006 FEW020CB OVC025 13/13 Q1019=,SBCT,2022-06-01 15:00:00
1654099200000,METAR SBCT 011600Z VRB02KT 3000 -TSRA FEW002 BKN007 FEW020CB OVC025 13/13 Q1018=,SBCT,2022-06-01 16:00:00
1654101300000,SPECI SBCT 011635Z 07005KT 3000 -RA FEW002 BKN007 OVC025 13/13 Q1017 RETS=,SBCT,2022-06-01 16:35:00
1654102800000,METAR SBCT 011700Z 07003KT 040V110 2000 -RA FEW003 BKN007 OVC025 13/13 Q1017 RETS=,SBCT,2022-06-01 17:00:00
1654104000000,SPECI SBCT 011720Z 07004KT 010V140 5000 -RA SCT003 BKN007 OVC022 13/13 Q1017=,SBCT,2022-06-01 17:20:00
1654106400000,METAR SBCT 011800Z 08003KT 060V120 5000 RA BKN003 BKN006 OVC013 13/13 Q1017=,SBCT,2022-06-01 18:00:00
1654108800000,SPECI SBCT 011840Z 09003KT 060V130 4000 -RA BR BKN003 BKN006 OVC012 13/13 Q1016 RERA=,SBCT,2022-06-01 18:40:00
1654110000000,METAR SBCT 011900Z VRB02KT 3000 -RA BR BKN003 OVC012 13/13 Q1016 RERA=,SBCT,2022-06-01 19:00:00
1654113600000,METAR SBCT 012000Z 15003KT 3000 RA BKN002 OVC010 13/13 Q1016=,SBCT,2022-06-01 20:00:00
1654115100000,SPECI SBCT 012025Z VRB02KT 4000 -RA BKN004 OVC012 13/13 Q1017 RERA=,SBCT,2022-06-01 20:25:00
1654117200000,METAR SBCT 012100Z VRB02KT 5000 RA SCT003 BKN005 OVC012 13/13 Q1017=,SBCT,2022-06-01 21:00:00
1654120800000,METAR SBCT 012200Z 08003KT 8000 -RA SCT002 BKN006 OVC012 13/13 Q1017 RERA=,SBCT,2022-06-01 22:00:00
1654124400000,METAR SBCT 012300Z 07003KT 8000 -DZ SCT003 BKN007 OVC012 13/13 Q1017=,SBCT,2022-06-01 23:00:00
1654041600000,METAR SBFL 010000Z 17009KT 140V200 9999 BKN030 14/07 Q1020=,SBFL,2022-06-01 00:00:00
1654045200000,METAR SBFL 010100Z 15005KT 9999 BKN030 13/07 Q1021=,SBFL,2022-06-01 01:00:00
1654048800000,METAR SBFL 010200Z 21007KT 9999 BKN030 13/08 Q1020=,SBFL,2022-06-01 02:00:00
1654052400000,METAR SBFL 010300Z 22005KT 9999 BKN030 13/10 Q1020=,SBFL,2022-06-01 03:00:00
1654056000000,METAR SBFL 010400Z 26002KT 9999 BKN030 13/10 Q1020=,SBFL,2022-06-01 04:00:00
1654059600000,METAR SBFL 010500Z 28004KT 9999 BKN040 13/11 Q1020=,SBFL,2022-06-01 05:00:00
1654063200000,METAR SBFL 010600Z 29002KT 9999 BKN040 12/11 Q1019=,SBFL,2022-06-01 06:00:00
1654066800000,METAR SBFL 010700Z 30002KT 9999 SCT010 BKN040 13/12 Q1019=,SBFL,2022-06-01 07:00:00
1654070400000,METAR SBFL 010800Z 25002KT 9999 SCT010 BKN040 13/12 Q1019=,SBFL,2022-06-01 08:00:00
1654074000000,METAR SBFL 010900Z 27002KT 9999 FEW010 BKN030 13/12 Q1019=,SBFL,2022-06-01 09:00:00
1654077600000,METAR SBFL 011000Z 26003KT 9999 BKN030 13/10 Q1019=,SBFL,2022-06-01 10:00:00
1654081200000,METAR SBFL 011100Z 26004KT 9999 SCT015 BKN025 14/11 Q1020=,SBFL,2022-06-01 11:00:00
1654084800000,METAR SBFL 011200Z 26005KT 9999 SCT015 BKN025 14/12 Q1020=,SBFL,2022-06-01 12:00:00
1654088400000,METAR SBFL 011300Z 25003KT 220V280 9999 FEW015 BKN030 14/11 Q1020=,SBFL,2022-06-01 13:00:00
1654092000000,METAR SBFL 011400Z 24003KT 9999 FEW015 BKN030 15/11 Q1019=,SBFL,2022-06-01 14:00:00
1654095600000,METAR SBFL 011500Z 24004KT 210V270 9999 SCT008 BKN025 15/11 Q1018=,SBFL,2022-06-01 15:00:00
1654099200000,METAR SBFL 011600Z 29005KT 9999 SCT008 BKN020 15/12 Q1017=,SBFL,2022-06-01 16:00:00
1654102800000,METAR SBFL 011700Z VRB02KT 9000 -RA SCT009 OVC020 15/13 Q1016=,SBFL,2022-06-01 17:00:00
1654104600000,SPECI SBFL 011730Z 25004KT 9000 -RA BKN010 OVC025 15/14 Q1016=,SBFL,2022-06-01 17:30:00
1654106400000,METAR SBFL 011800Z 21001KT 8000 -RA BKN010 OVC025 15/14 Q1016=,SBFL,2022-06-01 18:00:00
1654107840000,SPECI SBFL 011824Z 22001KT 2500 -RA BKN008 OVC025 14/13 Q1016=,SBFL,2022-06-01 18:24:00
1654110000000,METAR SBFL 011900Z 21003KT 3000 -RA BKN008 OVC025 14/13 Q1015=,SBFL,2022-06-01 19:00:00
1654113600000,METAR SBFL 012000Z 11004KT 4000 -RA BKN010 OVC025 14/13 Q1015=,SBFL,2022-06-01 20:00:00
1654117200000,METAR SBFL 012100Z 12003KT 4000 -RA BKN008 OVC025 14/14 Q1016=,SBFL,2022-06-01 21:00:00
1654120800000,METAR SBFL 012200Z 34002KT 3000 -RA BKN007 OVC025 14/14 Q1016=,SBFL,2022-06-01 22:00:00
1654124400000,METAR SBFL 012300Z 03002KT 4000 -RA BKN008 OVC025 14/14 Q1016=,SBFL,2022-06-01 23:00:00
1654041600000,METAR SBGL 010000Z 10002KT 9999 SCT020 BKN040 23/20 Q1016=,SBGL,2022-06-01 00:00:00
1654045200000,METAR SBGL 010100Z 09004KT 9999 SCT020 OVC040 22/20 Q1016=,SBGL,2022-06-01 01:00:00
1654048800000,METAR SBGL 010200Z 00000KT 9999 SCT018 OVC030 22/20 Q1016=,SBGL,2022-06-01 02:00:00
1654052400000,METAR SBGL 010300Z 12002KT 9999 SCT018 OVC030 22/20 Q1015=,SBGL,2022-06-01 03:00:00
1654056000000,METAR SBGL 010400Z 10002KT 9999 SCT018 OVC030 22/20 Q1015=,SBGL,2022-06-01 04:00:00
1654059600000,METAR SBGL 010500Z 15003KT 9999 SCT018 OVC030 22/19 Q1015=,SBGL,2022-06-01 05:00:00
1654063200000,METAR SBGL 010600Z 35002KT 9999 SCT015 OVC030 21/19 Q1014=,SBGL,2022-06-01 06:00:00
1654066800000,METAR SBGL 010700Z 34004KT 9999 SCT015 OVC030 20/19 Q1014=,SBGL,2022-06-01 07:00:00
1654070400000,METAR SBGL 010800Z 33003KT 8000 SCT015 OVC030 20/19 Q1015=,SBGL,2022-06-01 08:00:00
1654074000000,METAR SBGL 010900Z 00000KT 8000 FEW015 BKN050 21/20 Q1015=,SBGL,2022-06-01 09:00:00
1654075800000,SPECI SBGL 010930Z 00000KT 4000 BR FEW015 BKN050 21/20 Q1016=,SBGL,2022-06-01 09:30:00
1654077600000,METAR COR SBGL 011000Z 00000KT 5000 BR FEW007 BKN050 21/20 Q1016=,SBGL,2022-06-01 10:00:00
1654081200000,METAR SBGL 011100Z 10003KT 070V130 7000 FEW009 BKN070 23/21 Q1016=,SBGL,2022-06-01 11:00:00
1654084800000,METAR SBGL 011200Z VRB02KT 8000 FEW010 BKN080 23/20 Q1017=,SBGL,2022-06-01 12:00:00
1654088400000,METAR SBGL 011300Z 36003KT 310V040 7000 SCT012 25/21 Q1017=,SBGL,2022-06-01 13:00:00
1654092000000,METAR SBGL 011400Z 12008KT 8000 SCT018 BKN030 27/22 Q1016=,SBGL,2022-06-01 14:00:00
1654095600000,METAR SBGL 011500Z 13010KT 9999 BKN019 25/20 Q1015=,SBGL,2022-06-01 15:00:00
1654099200000,METAR SBGL 011600Z 14008KT 100V160 9999 FEW025 26/21 Q1014=,SBGL,2022-06-01 16:00:00
1654102800000,METAR SBGL 011700Z 11008KT 070V150 9999 FEW025 27/20 Q1013=,SBGL,2022-06-01 17:00:00
1654106400000,METAR SBGL 011800Z 12010KT CAVOK 26/20 Q1012=,SBGL,2022-06-01 18:00:00
1654110000000,METAR SBGL 011900Z 12010KT CAVOK 24/21 Q1012=,SBGL,2022-06-01 19:00:00
1654113600000,METAR SBGL 012000Z 14006KT CAVOK 24/21 Q1012=,SBGL,2022-06-01 20:00:00
1654117200000,METAR SBGL 012100Z 13005KT CAVOK 23/21 Q1013=,SBGL,2022-06-01 21:00:00
1654120800000,METAR SBGL 012200Z 14005KT CAVOK 23/21 Q1013=,SBGL,2022-06-01 22:00:00
1654124400000,METAR SBGL 012300Z 25002KT 9999 SCT025 23/21 Q1014=,SBGL,2022-06-01 23:00:00
1654041600000,METAR SBGR 010000Z 13005KT 9999 OVC009 16/15 Q1019=,SBGR,2022-06-01 00:00:00
1654045200000,METAR SBGR 010100Z 13003KT 9999 OVC009 16/15 Q1020=,SBGR,2022-06-01 01:00:00
1654048800000,METAR SBGR 010200Z 10003KT 9999 SCT008 OVC017 16/15 Q1019=,SBGR,2022-06-01 02:00:00
1654052400000,METAR SBGR 010300Z 16003KT 9999 SCT008 OVC017 16/15 Q1019=,SBGR,2022-06-01 03:00:00
1654054080000,SPECI SBGR 010328Z 15003KT 9999 BKN009 OVC015 16/15 Q1019=,SBGR,2022-06-01 03:28:00
1654056000000,METAR SBGR 010400Z 13003KT 9999 BKN009 OVC015 16/16 Q1019=,SBGR,2022-06-01 04:00:00
1654059600000,METAR COR SBGR 010500Z 16003KT 9999 -RA BKN008 OVC015 16/16 Q1019=,SBGR,2022-06-01 05:00:00
1654063200000,METAR SBGR 010600Z 16003KT 9000 -RA BKN008 OVC015 16/16 Q1018=,SBGR,2022-06-01 06:00:00
1654063980000,SPECI SBGR 010613Z 05003KT 6000 TSRA BKN008 SCT020 FEW030CB BKN080 16/16 Q1018=,SBGR,2022-06-01 06:13:00
1654066800000,METAR SBGR 010700Z 07003KT 6000 -RA VCTS BKN007 SCT015 FEW040CB BKN090 16/16 Q1018 RETSRA=,SBGR,2022-06-01 07:00:00
1654070400000,METAR SBGR 010800Z 00000KT 7000 -RA BKN009 BKN080 OVC100 16/16 Q1019=,SBGR,2022-06-01 08:00:00
1654074000000,METAR SBGR 010900Z 15003KT 6000 -RA BKN008 OVC100 16/16 Q1019=,SBGR,2022-06-01 09:00:00
1654077600000,METAR SBGR 011000Z 10003KT 6000 OVC008 16/16 Q1019=,SBGR,2022-06-01 10:00:00
1654081200000,METAR SBGR 011100Z 11002KT 6000 OVC006 16/16 Q1020=,SBGR,2022-06-01 11:00:00
1654084800000,METAR SBGR 011200Z 06008KT 8000 OVC006 17/16 Q1020=,SBGR,2022-06-01 12:00:00
1654088400000,METAR SBGR 011300Z 07008KT 9999 OVC006 17/17 Q1020=,SBGR,2022-06-01 13:00:00
1654092000000,METAR SBGR 011400Z 08006KT 9999 BKN007 18/17 Q1020=,SBGR,2022-06-01 14:00:00
1654095600000,METAR SBGR 011500Z 07006KT 9999 -RA BKN009 OVC080 19/17 Q1018=,SBGR,2022-06-01 15:00:00
1654099200000,METAR SBGR 011600Z 07007KT 9999 BKN010 20/18 Q1017=,SBGR,2022-06-01 16:00:00
1654102800000,METAR SBGR 011700Z 09002KT 9999 FEW015 BKN080 21/18 Q1016=,SBGR,2022-06-01 17:00:00
1654106400000,METAR SBGR 011800Z 08002KT 9999 BKN017 22/18 Q1015=,SBGR,2022-06-01 18:00:00
1654110000000,METAR SBGR 011900Z 14005KT 9999 BKN013 21/19 Q1015=,SBGR,2022-06-01 19:00:00
1654113600000,METAR SBGR 012000Z 11004KT 9999 OVC013 21/19 Q1016=,SBGR,2022-06-01 20:00:00
1654117200000,METAR SBGR 012100Z 11003KT 9999 OVC011 20/19 Q1016=,SBGR,2022-06-01 21:00:00
1654120800000,METAR SBGR 012200Z 09004KT 9999 OVC009 20/19 Q1017=,SBGR,2022-06-01 22:00:00
1654124400000,METAR SBGR 012300Z 08005KT 9999 OVC009 20/19 Q1017=,SBGR,2022-06-01 23:00:00
1654041600000,METAR SBKP 010000Z 12013KT CAVOK 17/15 Q1017=,SBKP,2022-06-01 00:00:00
1654045200000,METAR SBKP 010100Z 12014KT CAVOK 17/15 Q1018=,SBKP,2022-06-01 01:00:00
1654048800000,METAR SBKP 010200Z 12013KT CAVOK 17/15 Q1017=,SBKP,2022-06-01 02:00:00
1654052400000,METAR SBKP 010300Z 12012KT 9999 VCTS SCT020 FEW040CB 17/15 Q1017=,SBKP,2022-06-01 03:00:00
1654056000000,METAR SBKP 010400Z 12014KT 9999 VCTS SCT020 FEW040CB BKN070 17/15 Q1017=,SBKP,2022-06-01 04:00:00
1654058460000,SPECI SBKP 010441Z 14012KT 9999 -TSRA BKN030 FEW040CB OVC070 17/15 Q1017=,SBKP,2022-06-01 04:41:00
1654059600000,METAR COR SBKP 010500Z 26019G29KT 3000 +TSRA BR BKN005 SCT030 SCT040CB 17/15 Q1019=,SBKP,2022-06-01 05:00:00
1654060920000,SPECI SBKP 010522Z 14014KT 6000 TSRA FEW005 BKN025 SCT040CB 17/16 Q1017 RERA=,SBKP,2022-06-01 05:22:00
1654063200000,METAR SBKP 010600Z 12010KT 6000 TSRA BKN021 FEW040CB OVC070 17/16 Q1017 RERA=,SBKP,2022-06-01 06:00:00
1654066800000,METAR SBKP 010700Z 11007KT 8000 -TSRA FEW003 SCT025 FEW040CB OVC100 17/16 Q1017 RERA=,SBKP,2022-06-01 07:00:00
1654070400000,METAR SBKP 010800Z 11009KT 9999 SCT025 FEW050TCU OVC100 16/15 Q1017 RETS=,SBKP,2022-06-01 08:00:00
1654074000000,METAR SBKP 010900Z 11006KT 9999 FEW010 BKN043 OVC100 17/15 Q1018=,SBKP,2022-06-01 09:00:00
1654077600000,METAR SBKP 011000Z 10006KT 8000 3500E FEW010 SCT040 BKN080 16/15 Q1018=,SBKP,2022-06-01 10:00:00
1654081200000,METAR SBKP 011100Z 12005KT 8000 -RA FEW010 BKN080 17/16 Q1019=,SBKP,2022-06-01 11:00:00
1654084800000,METAR SBKP 011200Z 10006KT 9000 FEW040 BKN066 17/16 Q1019=,SBKP,2022-06-01 12:00:00
1654088400000,METAR SBKP 011300Z 12003KT 9999 SCT040 BKN066 BKN100 18/17 Q1019=,SBKP,2022-06-01 13:00:00
1654092000000,METAR SBKP 011400Z 12004KT 9999 FEW030 SCT040 BKN050 20/17 Q1019=,SBKP,2022-06-01 14:00:00
1654095600000,METAR SBKP 011500Z 09005KT 9999 FEW020 BKN100 21/18 Q1017=,SBKP,2022-06-01 15:00:00
1654099200000,METAR SBKP 011600Z 02006KT 9999 FEW020 BKN100 23/18 Q1016=,SBKP,2022-06-01 16:00:00
1654102800000,METAR SBKP 011700Z 32003KT 9999 FEW020 BKN100 24/18 Q1015=,SBKP,2022-06-01 17:00:00
1654106400000,METAR SBKP 011800Z 03002KT 9999 FEW020 BKN100 26/18 Q1014=,SBKP,2022-06-01 18:00:00
1654110000000,METAR SBKP 011900Z 34006KT CAVOK 25/17 Q1014=,SBKP,2022-06-01 19:00:00
1654113600000,METAR SBKP 012000Z 26005KT CAVOK 24/18 Q1015=,SBKP,2022-06-01 20:00:00
1654117200000,METAR SBKP 012100Z 20003KT CAVOK 24/18 Q1015=,SBKP,2022-06-01 21:00:00
1654120800000,METAR SBKP 012200Z 20003KT CAVOK 23/18 Q1015=,SBKP,2022-06-01 22:00:00
1654124400000,METAR SBKP 012300Z 15003KT CAVOK 21/18 Q1016=,SBKP,2022-06-01 23:00:00
1654041600000,METAR SBPA 010000Z VRB03KT CAVOK 09/04 Q1021=,SBPA,2022-06-01 00:00:00
1654045200000,METAR SBPA 010100Z 15003KT 130V190 CAVOK 09/04 Q1021=,SBPA,2022-06-01 01:00:00
1654048800000,METAR SBPA 010200Z 07004KT CAVOK 07/05 Q1021=,SBPA,2022-06-01 02:00:00
1654052400000,METAR SBPA 010300Z 08004KT CAVOK 07/05 Q1021=,SBPA,2022-06-01 03:00:00
1654056000000,METAR SBPA 010400Z VRB02KT CAVOK 06/05 Q1021=,SBPA,2022-06-01 04:00:00
1654059600000,METAR SBPA 010500Z 21002KT CAVOK 05/04 Q1021=,SBPA,2022-06-01 05:00:00
1654063200000,METAR SBPA 010600Z 11002KT CAVOK 05/04 Q1021=,SBPA,2022-06-01 06:00:00
1654066800000,METAR SBPA 010700Z VRB02KT 9000 NSC 04/04 Q1020=,SBPA,2022-06-01 07:00:00
1654070400000,METAR SBPA 010800Z VRB01KT CAVOK 05/05 Q1020=,SBPA,2022-06-01 08:00:00
1654074000000,METAR SBPA 010900Z 08004KT CAVOK 06/05 Q1020=,SBPA,2022-06-01 09:00:00
1654077600000,METAR SBPA 011000Z VRB01KT 9999 SCT045 BKN080 06/06 Q1020=,SBPA,2022-06-01 10:00:00
1654081200000,METAR SBPA 011100Z 00000KT 9999 FEW005 BKN050 07/06 Q1021=,SBPA,2022-06-01 11:00:00
1654084800000,METAR SBPA 011200Z VRB01KT 9999 FEW005 BKN041 08/06 Q1020=,SBPA,2022-06-01 12:00:00
1654088400000,METAR SBPA 011300Z VRB02KT 9999 FEW005 BKN040 09/07 Q1021=,SBPA,2022-06-01 13:00:00
1654092000000,METAR SBPA 011400Z 17007KT 120V200 9999 FEW010 BKN029 BKN036 11/08 Q1019=,SBPA,2022-06-01 14:00:00
1654095600000,METAR SBPA 011500Z 16005KT 9999 FEW010 SCT028 OVC036 12/09 Q1019=,SBPA,2022-06-01 15:00:00
1654099200000,METAR SBPA 011600Z 17006KT 9999 FEW015 OVC030 12/08 Q1019=,SBPA,2022-06-01 16:00:00
1654102800000,METAR SBPA 011700Z 17008KT 140V200 9999 FEW015 OVC030 12/07 Q1018=,SBPA,2022-06-01 17:00:00
1654106400000,METAR SBPA 011800Z 16006KT 9999 FEW015 OVC030 12/08 Q1018=,SBPA,2022-06-01 18:00:00
1654110000000,METAR SBPA 011900Z 14005KT 9999 FEW015 OVC030 12/08 Q1018=,SBPA,2022-06-01 19:00:00
1654113600000,METAR SBPA 012000Z 18005KT 150V220 9999 FEW020 OVC030 12/09 Q1018=,SBPA,2022-06-01 20:00:00
1654117200000,METAR SBPA 012100Z 18006KT 150V210 9999 BKN020 OVC030 12/09 Q1018=,SBPA,2022-06-01 21:00:00
1654120800000,METAR SBPA 012200Z 18003KT 140V230 9000 OVC026 12/09 Q1019=,SBPA,2022-06-01 22:00:00
1654124400000,METAR SBPA 012300Z 14004KT 9000 OVC026 12/09 Q1020=,SBPA,2022-06-01 23:00:00
1654041600000,METAR SBRF 010000Z 26002KT 9999 VCSH FEW013 BKN019 25/24 Q1012=,SBRF,2022-06-01 00:00:00
1654045200000,METAR SBRF 010100Z 13004KT 100V160 9999 FEW013 BKN019 26/25 Q1012=,SBRF,2022-06-01 01:00:00
1654048800000,METAR SBRF 010200Z 11004KT 050V140 9999 SCT019 SCT060 27/24 Q1012=,SBRF,2022-06-01 02:00:00
1654052400000,METAR SBRF 010300Z 11004KT 070V140 9999 SCT019 SCT060 27/24 Q1011=,SBRF,2022-06-01 03:00:00
1654056000000,METAR SBRF 010400Z 14004KT 110V170 9999 VCSH SCT019 BKN070 27/24 Q1011=,SBRF,2022-06-01 04:00:00
1654059600000,METAR SBRF 010500Z 13004KT 9999 SCT019 26/24 Q1010=,SBRF,2022-06-01 05:00:00
1654063200000,METAR SBRF 010600Z 19004KT 150V210 9999 SCT019 24/22 Q1010=,SBRF,2022-06-01 06:00:00
1654065840000,SPECI SBRF 010644Z 09008KT 040V130 2000 SHRA BR BKN017 FEW020TCU 25/23 Q1010=,SBRF,2022-06-01 06:44:00
1654066800000,METAR SBRF 010700Z 09006KT 030V130 1500 R36///// R18/1600D SHRA BR BKN017 FEW020TCU 24/23 Q1010=,SBRF,2022-06-01 07:00:00
1654067520000,SPECI SBRF 010712Z 18004KT 140V230 3000 -RA BR SCT010 BKN017 FEW020TCU 23/23 Q1011 RESHRA=,SBRF,2022-06-01 07:12:00
1654070400000,METAR SBRF 010800Z 21004KT 180V240 9999 VCSH FEW010 BKN017 FEW020TCU 24/23 Q1011 RESHRA=,SBRF,2022-06-01 08:00:00
